nr, Score
742,600.0
743,485.0
744,575.0
745,570.0
746,740.0
747,665.0
748,330.0
749,315.0
750,430.0
751,420.0
752,315.0
753,390.0
754,470.0
755,775.0
756,600.0
757,485.0
758,340.0
759,560.0
760,775.0
761,635.0
762,600.0
763,675.0
764,465.0
765,450.0
766,795.0
767,485.0
768,490.0
769,600.0
770,600.0
771,635.0
772,605.0
773,630.0
774,470.0
775,570.0
776,665.0
777,600.0
778,840.0
779,665.0
780,425.0
781,550.0
782,495.0
783,425.0
784,540.0
785,475.0
786,210.0
787,630.0
788,475.0
789,330.0
790,600.0
791,575.0
792,450.0
793,575.0
794,510.0
795,695.0
796,470.0
797,430.0
798,760.0
799,315.0
800,475.0
801,570.0
802,315.0
803,320.0
804,600.0
805,630.0
806,315.0
807,545.0
808,480.0
809,550.0
810,720.0
811,675.0
812,315.0
813,390.0
814,685.0
815,285.0
816,435.0
817,605.0
818,740.0
819,575.0
820,360.0
821,355.0
822,210.0
823,600.0
824,475.0
825,315.0
826,450.0
827,600.0
828,830.0
829,210.0
830,575.0
831,790.0
832,330.0
833,570.0
834,210.0
835,600.0
836,700.0
837,870.0
838,600.0
839,585.0
840,315.0
841,495.0
842,200.0
843,330.0
844,205.0
845,605.0
846,455.0
847,580.0
848,600.0
849,315.0
850,530.0
851,485.0
852,735.0
853,335.0
854,600.0
855,370.0
856,450.0
857,470.0
858,330.0
859,495.0
860,665.0
861,475.0
862,450.0
863,210.0
864,545.0
865,725.0
866,185.0
867,745.0
868,320.0
869,475.0
870,785.0
871,750.0
872,315.0
873,1035.0
874,570.0
875,630.0
876,205.0
877,330.0
878,420.0
879,605.0
880,575.0
881,585.0
882,475.0
883,475.0
884,435.0
885,600.0
886,865.0
887,545.0
888,435.0
889,495.0
890,425.0
891,485.0
892,585.0
893,770.0
894,345.0
895,475.0
896,575.0
897,335.0
898,640.0
899,445.0
900,795.0
901,205.0
902,595.0
903,505.0
904,320.0
905,605.0
906,460.0
907,605.0
908,605.0
909,150.0
910,485.0
911,470.0
912,150.0
913,435.0
914,500.0
915,230.0
916,205.0
917,645.0
918,750.0
919,500.0
920,735.0
921,475.0
922,325.0
923,600.0
924,600.0
925,695.0
926,630.0
927,330.0
928,465.0
929,580.0
930,600.0
931,455.0
932,575.0
933,575.0
934,315.0
935,345.0
936,600.0
937,600.0
938,565.0
939,465.0
940,745.0
941,605.0
942,910.0
943,420.0
944,630.0
945,435.0
946,550.0
947,575.0
948,870.0
949,610.0
950,550.0
951,650.0
952,320.0
953,545.0
954,315.0
955,770.0
956,815.0
957,555.0
958,575.0
959,630.0
960,580.0
961,315.0
962,580.0
963,885.0
964,505.0
965,315.0
966,915.0
967,745.0
968,825.0
969,455.0
970,740.0
971,600.0
972,570.0
973,375.0
974,570.0
975,605.0
976,285.0
977,1085.0
978,655.0
979,600.0
980,760.0
981,570.0
982,435.0
983,360.0
984,765.0
985,315.0
986,665.0
987,780.0
988,495.0
989,455.0
990,870.0
991,465.0
992,230.0
993,605.0
994,150.0
995,435.0
996,1055.0
997,710.0
998,150.0
999,695.0
1000,420.0
