nr, Score
723,415.0
724,515.0
725,510.0
726,355.0
727,375.0
728,360.0
729,320.0
730,545.0
731,640.0
732,800.0
733,330.0
734,600.0
735,600.0
736,610.0
737,500.0
738,360.0
739,370.0
740,510.0
741,370.0
742,510.0
743,525.0
744,465.0
745,450.0
746,390.0
747,495.0
748,430.0
749,490.0
750,600.0
751,420.0
752,555.0
753,370.0
754,390.0
755,505.0
756,390.0
757,385.0
758,460.0
759,490.0
760,375.0
761,545.0
762,430.0
763,600.0
764,205.0
765,370.0
766,480.0
767,495.0
768,360.0
769,1035.0
770,240.0
771,445.0
772,370.0
773,400.0
774,600.0
775,425.0
776,460.0
777,560.0
778,320.0
779,495.0
780,455.0
781,745.0
782,475.0
783,475.0
784,525.0
785,460.0
786,435.0
787,470.0
788,205.0
789,405.0
790,495.0
791,475.0
792,600.0
793,485.0
794,575.0
795,745.0
796,375.0
797,360.0
798,555.0
799,680.0
800,550.0
801,505.0
802,230.0
803,435.0
804,575.0
805,400.0
806,445.0
807,370.0
808,395.0
809,795.0
810,370.0
811,525.0
812,715.0
813,480.0
814,655.0
815,540.0
816,360.0
817,510.0
818,410.0
819,360.0
820,570.0
821,370.0
822,575.0
823,555.0
824,670.0
825,525.0
826,525.0
827,545.0
828,480.0
829,480.0
830,545.0
831,1035.0
832,540.0
833,485.0
834,470.0
835,530.0
836,435.0
837,540.0
838,580.0
839,685.0
840,365.0
841,665.0
842,480.0
843,505.0
844,480.0
845,330.0
846,515.0
847,500.0
848,460.0
849,510.0
850,685.0
851,395.0
852,370.0
853,435.0
854,600.0
855,755.0
856,495.0
857,555.0
858,305.0
859,405.0
860,425.0
861,330.0
862,635.0
863,605.0
864,445.0
865,510.0
866,575.0
867,280.0
868,420.0
869,360.0
870,450.0
871,490.0
872,360.0
873,530.0
874,400.0
875,450.0
876,555.0
877,565.0
878,600.0
879,600.0
880,455.0
881,520.0
882,475.0
883,375.0
884,555.0
885,485.0
886,370.0
887,470.0
888,525.0
889,205.0
890,445.0
891,575.0
892,360.0
893,360.0
894,460.0
895,585.0
896,485.0
897,545.0
898,465.0
899,500.0
900,480.0
901,585.0
902,540.0
903,370.0
904,570.0
905,370.0
906,530.0
907,480.0
908,320.0
909,505.0
910,600.0
911,500.0
912,610.0
913,500.0
914,600.0
915,510.0
916,475.0
917,440.0
918,395.0
919,490.0
920,360.0
921,600.0
922,445.0
923,435.0
924,515.0
925,360.0
926,380.0
927,320.0
928,360.0
929,650.0
930,535.0
931,610.0
932,205.0
933,755.0
934,535.0
935,435.0
936,395.0
937,460.0
938,525.0
939,320.0
940,380.0
941,425.0
942,630.0
943,605.0
944,360.0
945,715.0
946,485.0
947,410.0
948,395.0
949,205.0
950,520.0
951,475.0
952,475.0
953,360.0
954,320.0
955,315.0
956,320.0
957,485.0
958,660.0
959,490.0
960,350.0
961,580.0
962,605.0
963,455.0
964,370.0
965,670.0
966,925.0
967,700.0
968,545.0
969,550.0
970,465.0
971,455.0
972,600.0
973,410.0
974,545.0
975,395.0
976,600.0
977,535.0
978,435.0
979,450.0
980,360.0
981,330.0
982,545.0
983,420.0
984,545.0
985,515.0
986,430.0
987,360.0
988,480.0
989,600.0
990,320.0
991,555.0
992,205.0
993,300.0
994,370.0
995,495.0
996,550.0
997,470.0
998,370.0
999,205.0
1000,885.0
