nr, Score
789,410.0
790,820.0
791,570.0
792,340.0
793,945.0
794,300.0
795,560.0
796,530.0
797,525.0
798,610.0
799,550.0
800,545.0
801,635.0
802,570.0
803,260.0
804,605.0
805,385.0
806,600.0
807,480.0
808,305.0
809,440.0
810,460.0
811,540.0
812,555.0
813,605.0
814,530.0
815,585.0
816,715.0
817,600.0
818,825.0
819,585.0
820,595.0
821,735.0
822,185.0
823,455.0
824,600.0
825,600.0
826,260.0
827,605.0
828,440.0
829,580.0
830,575.0
831,575.0
832,665.0
833,560.0
834,185.0
835,555.0
836,275.0
837,210.0
838,570.0
839,235.0
840,605.0
841,610.0
842,600.0
843,125.0
844,610.0
845,625.0
846,645.0
847,600.0
848,705.0
849,750.0
850,230.0
851,300.0
852,600.0
853,635.0
854,460.0
855,600.0
856,570.0
857,745.0
858,630.0
859,585.0
860,320.0
861,635.0
862,475.0
863,600.0
864,665.0
865,515.0
866,490.0
867,575.0
868,535.0
869,605.0
870,575.0
871,440.0
872,465.0
873,260.0
874,600.0
875,945.0
876,580.0
877,575.0
878,555.0
879,315.0
880,605.0
881,560.0
882,335.0
883,275.0
884,440.0
885,600.0
886,435.0
887,255.0
888,290.0
889,780.0
890,805.0
891,200.0
892,605.0
893,500.0
894,205.0
895,420.0
896,200.0
897,545.0
898,540.0
899,570.0
900,550.0
901,515.0
902,600.0
903,615.0
904,605.0
905,575.0
906,600.0
907,420.0
908,600.0
909,580.0
910,460.0
911,515.0
912,585.0
913,525.0
914,470.0
915,510.0
916,410.0
917,600.0
918,190.0
919,605.0
920,645.0
921,340.0
922,530.0
923,555.0
924,580.0
925,740.0
926,285.0
927,605.0
928,945.0
929,295.0
930,685.0
931,460.0
932,365.0
933,460.0
934,610.0
935,545.0
936,740.0
937,745.0
938,380.0
939,230.0
940,550.0
941,590.0
942,610.0
943,600.0
944,475.0
945,490.0
946,515.0
947,605.0
948,600.0
949,540.0
950,530.0
951,525.0
952,420.0
953,425.0
954,605.0
955,210.0
956,600.0
957,255.0
958,665.0
959,600.0
960,475.0
961,605.0
962,410.0
963,520.0
964,530.0
965,515.0
966,270.0
967,480.0
968,550.0
969,600.0
970,745.0
971,515.0
972,775.0
973,600.0
974,220.0
975,395.0
976,530.0
977,600.0
978,600.0
979,480.0
980,580.0
981,585.0
982,545.0
983,365.0
984,585.0
985,505.0
986,555.0
987,555.0
988,295.0
989,510.0
990,500.0
991,600.0
992,485.0
993,525.0
994,415.0
995,270.0
996,600.0
997,540.0
998,735.0
999,555.0
1000,810.0
